
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 5 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 5/8 clients
  [Client 38] Round 1 | loss=1.9003 | time=16.3s
  [Client 34] Round 1 | loss=1.2946 | time=13.2s
  [Client 10] Round 1 | loss=1.5325 | time=11.8s
  [Client 12] Round 1 | loss=1.5923 | time=10.3s
  [Client 45] Round 1 | loss=1.7302 | time=11.0s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.5427
  [Edge 0] G-Round 1 | E-Round 2 | Selected 5/8 clients
  [Client 38] Round 1 | loss=1.8118 | time=2.4s
  [Client 30] Round 1 | loss=2.0506 | time=10.9s
  [Client 10] Round 1 | loss=1.6106 | time=1.7s
  [Client 12] Round 1 | loss=1.4928 | time=1.4s
  [Client 34] Round 1 | loss=1.0631 | time=4.6s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.4591
  [Edge 0] G-Round 1 | E-Round 3 | Selected 5/8 clients
  [Client 10] Round 1 | loss=1.3896 | time=1.7s
  [Client 45] Round 1 | loss=1.3508 | time=1.2s
  [Client 34] Round 1 | loss=1.0461 | time=4.6s
  [Client 39] Round 1 | loss=1.2032 | time=10.7s
  [Client 12] Round 1 | loss=1.3389 | time=1.4s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.1986
  [Edge 0] G-Round 1 | E-Round 4 | Selected 5/8 clients
  [Client 34] Round 1 | loss=0.9106 | time=4.6s
  [Client 45] Round 1 | loss=1.3640 | time=1.2s
  [Client 12] Round 1 | loss=1.3830 | time=1.4s
  [Client 39] Round 1 | loss=1.1156 | time=1.1s
  [Client 38] Round 1 | loss=1.6433 | time=2.4s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.2097
  [Edge 0] G-Round 1 | E-Round 5 | Selected 5/8 clients
  [Client 45] Round 1 | loss=1.2927 | time=1.2s
  [Client 30] Round 1 | loss=1.7596 | time=1.1s
  [Client 25] Round 1 | loss=1.4961 | time=11.0s
  [Client 34] Round 1 | loss=0.8582 | time=4.6s
  [Client 12] Round 1 | loss=1.1878 | time=1.4s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.1717
  [Edge 1] G-Round 1 | E-Round 1 | Selected 24/35 clients
  [Client  0] Round 1 | loss=1.9100 | time=10.3s
  [Client  4] Round 1 | loss=1.6782 | time=11.7s
  [Client 11] Round 1 | loss=1.8661 | time=11.9s
  [Client  9] Round 1 | loss=1.8479 | time=10.8s
  [Client 22] Round 1 | loss=1.8857 | time=12.8s
  [Client 48] Round 1 | loss=1.6431 | time=9.6s
  [Client 31] Round 1 | loss=2.0212 | time=11.0s
  [Client  5] Round 1 | loss=1.8747 | time=12.3s
  [Client 40] Round 1 | loss=1.7861 | time=10.7s
  [Client 46] Round 1 | loss=1.5481 | time=9.0s
  [Client 29] Round 1 | loss=1.7396 | time=10.9s
  [Client 28] Round 1 | loss=2.0781 | time=6.2s
  [Client 32] Round 1 | loss=1.8052 | time=11.4s
  [Client 26] Round 1 | loss=1.7059 | time=11.8s
  [Client 33] Round 1 | loss=2.0703 | time=14.2s
  [Client 13] Round 1 | loss=1.9758 | time=9.9s
  [Client 20] Round 1 | loss=1.8382 | time=12.4s
  [Client 47] Round 1 | loss=1.7274 | time=12.0s
  [Client 44] Round 1 | loss=1.8880 | time=14.5s
  [Client  7] Round 1 | loss=1.6732 | time=11.6s
  [Client  3] Round 1 | loss=1.6482 | time=13.1s
  [Client 41] Round 1 | loss=1.9467 | time=10.6s
  [Client 18] Round 1 | loss=1.8961 | time=12.7s
