
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 60/60
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7188
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6721
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0687
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6016
  [Client 65] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.3645
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6334
  [Client 57] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6502
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8013
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9083
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7122
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6130
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8907
  [Client 74] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.3968
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8205
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7436
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6471
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6827
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7075
  [Client 92] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7437
  [Client 67] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9352
  [Client 78] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.4760
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6206
  [Client 42] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6970
  [Client 24] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8337
