
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 5 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 5/8 clients
  [Client 38] Round 1 | loss=1.9271 | time=17.2s
  [Client 34] Round 1 | loss=1.3180 | time=13.8s
  [Client 10] Round 1 | loss=1.5366 | time=12.5s
  [Client 12] Round 1 | loss=1.5700 | time=10.7s
  [Client 45] Round 1 | loss=1.7296 | time=11.7s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.5557
  [Edge 0] G-Round 1 | E-Round 2 | Selected 5/8 clients
  [Client 38] Round 1 | loss=1.8561 | time=2.4s
  [Client 30] Round 1 | loss=2.1292 | time=11.5s
  [Client 10] Round 1 | loss=1.7776 | time=1.7s
  [Client 12] Round 1 | loss=1.5442 | time=1.4s
  [Client 34] Round 1 | loss=1.1184 | time=4.6s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.5305
  [Edge 0] G-Round 1 | E-Round 3 | Selected 5/8 clients
  [Client 10] Round 1 | loss=1.3930 | time=1.7s
  [Client 45] Round 1 | loss=1.3865 | time=1.2s
  [Client 34] Round 1 | loss=1.0429 | time=4.6s
  [Client 39] Round 1 | loss=1.1917 | time=11.2s
  [Client 12] Round 1 | loss=1.3891 | time=1.4s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.2078
  [Edge 0] G-Round 1 | E-Round 4 | Selected 5/8 clients
  [Client 34] Round 1 | loss=0.8803 | time=4.6s
  [Client 45] Round 1 | loss=1.3778 | time=1.2s
  [Client 12] Round 1 | loss=1.3862 | time=1.4s
  [Client 39] Round 1 | loss=1.1016 | time=1.1s
  [Client 38] Round 1 | loss=1.6217 | time=2.4s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.1923
  [Edge 0] G-Round 1 | E-Round 5 | Selected 5/8 clients
  [Client 45] Round 1 | loss=1.3102 | time=1.2s
  [Client 30] Round 1 | loss=1.7312 | time=1.1s
  [Client 25] Round 1 | loss=1.5171 | time=11.6s
  [Client 34] Round 1 | loss=0.8291 | time=4.6s
  [Client 12] Round 1 | loss=1.2139 | time=1.4s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.1650
  [Edge 1] G-Round 1 | E-Round 1 | Selected 24/35 clients
  [Client  0] Round 1 | loss=1.9189 | time=10.8s
  [Client  4] Round 1 | loss=1.7426 | time=12.4s
  [Client 11] Round 1 | loss=1.8651 | time=12.6s
  [Client  9] Round 1 | loss=1.8566 | time=11.4s
  [Client 22] Round 1 | loss=1.9295 | time=13.6s
  [Client 48] Round 1 | loss=1.7203 | time=10.1s
  [Client 31] Round 1 | loss=1.9950 | time=11.5s
  [Client  5] Round 1 | loss=1.8660 | time=13.0s
  [Client 40] Round 1 | loss=1.8314 | time=11.3s
  [Client 46] Round 1 | loss=1.6145 | time=9.5s
  [Client 29] Round 1 | loss=1.8256 | time=11.4s
  [Client 28] Round 1 | loss=2.1387 | time=6.5s
  [Client 32] Round 1 | loss=1.8742 | time=12.1s
  [Client 26] Round 1 | loss=1.7799 | time=12.5s
  [Client 33] Round 1 | loss=2.1078 | time=15.1s
  [Client 13] Round 1 | loss=2.0267 | time=10.3s
  [Client 20] Round 1 | loss=1.9584 | time=13.1s
  [Client 47] Round 1 | loss=1.6656 | time=12.6s
  [Client 44] Round 1 | loss=1.9681 | time=15.1s
  [Client  7] Round 1 | loss=1.6970 | time=12.2s
  [Client  3] Round 1 | loss=1.6530 | time=13.7s
  [Client 41] Round 1 | loss=2.0390 | time=11.3s
  [Client 18] Round 1 | loss=1.9413 | time=13.3s
  [Client 49] Round 1 | loss=2.0844 | time=9.6s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.8569
  [Edge 1] G-Round 1 | E-Round 2 | Selected 24/35 clients
  [Client 22] Round 1 | loss=1.8269 | time=1.8s
  [Client 28] Round 1 | loss=1.8942 | time=0.2s
  [Client 16] Round 1 | loss=1.7600 | time=12.1s
