
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 97/97
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4503
  [Client 92] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5456
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4928
  [Client 46] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2720
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2731
  [Client  7] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5183
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5452
  [Client  5] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8205
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7207
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3447
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0276
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6136
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5098
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5845
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4275
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6038
  [Client 94] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4980
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3659
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5617
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7650
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4012
  [Client 39] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5392
  [Client 19] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6132
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4868
