
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 10 edges...
  [Client  0] Round 1 | loss=1.7826 | time=14.4s
  [Client  1] Round 1 | loss=1.6013 | time=8.5s
  [Client  2] Round 1 | loss=1.7838 | time=11.5s
  [Client  3] Round 1 | loss=1.7461 | time=12.7s
  [Client  4] Round 1 | loss=1.9501 | time=11.2s
  [Client  5] Round 1 | loss=1.2717 | time=10.5s
  [Client  6] Round 1 | loss=2.0001 | time=8.3s
  [Client  7] Round 1 | loss=1.9643 | time=7.0s
  [Client  8] Round 1 | loss=1.8630 | time=10.3s
  [Client  9] Round 1 | loss=1.9864 | time=10.9s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.7960
  [Client  0] Round 1 | loss=1.8238 | time=1.0s
  [Client  1] Round 1 | loss=1.7179 | time=0.5s
  [Client  2] Round 1 | loss=1.6243 | time=0.8s
  [Client  3] Round 1 | loss=1.6949 | time=1.3s
  [Client  4] Round 1 | loss=1.8759 | time=1.2s
  [Client  5] Round 1 | loss=1.1925 | time=0.7s
  [Client  6] Round 1 | loss=1.8575 | time=0.5s
  [Client  7] Round 1 | loss=2.1278 | time=0.3s
  [Client  8] Round 1 | loss=1.8408 | time=1.1s
  [Client  9] Round 1 | loss=1.8133 | time=0.8s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.7430
  [Client  0] Round 1 | loss=1.6518 | time=1.0s
  [Client  1] Round 1 | loss=1.4924 | time=0.5s
  [Client  2] Round 1 | loss=1.5973 | time=0.8s
  [Client  3] Round 1 | loss=1.6160 | time=1.3s
  [Client  4] Round 1 | loss=1.7835 | time=1.2s
  [Client  5] Round 1 | loss=1.1739 | time=0.7s
  [Client  6] Round 1 | loss=1.7998 | time=0.5s
  [Client  7] Round 1 | loss=1.7625 | time=0.3s
  [Client  8] Round 1 | loss=1.6648 | time=1.1s
  [Client  9] Round 1 | loss=1.7989 | time=0.8s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.6377
  [Client  0] Round 1 | loss=1.6814 | time=1.0s
  [Client  1] Round 1 | loss=1.4558 | time=0.5s
  [Client  2] Round 1 | loss=1.4975 | time=0.8s
  [Client  3] Round 1 | loss=1.5695 | time=1.3s
  [Client  4] Round 1 | loss=1.8021 | time=1.2s
  [Client  5] Round 1 | loss=0.8424 | time=0.7s
  [Client  6] Round 1 | loss=1.5803 | time=0.5s
  [Client  7] Round 1 | loss=1.7075 | time=0.3s
  [Client  8] Round 1 | loss=1.5449 | time=1.1s
  [Client  9] Round 1 | loss=1.7534 | time=0.8s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.5596
  [Client  0] Round 1 | loss=1.6710 | time=1.0s
  [Client  1] Round 1 | loss=1.7306 | time=0.5s
  [Client  2] Round 1 | loss=1.5094 | time=0.8s
  [Client  3] Round 1 | loss=1.5446 | time=1.3s
  [Client  4] Round 1 | loss=1.6791 | time=1.2s
  [Client  5] Round 1 | loss=1.0712 | time=0.7s
  [Client  6] Round 1 | loss=1.5524 | time=0.5s
  [Client  7] Round 1 | loss=1.6277 | time=0.3s
  [Client  8] Round 1 | loss=1.5477 | time=1.1s
  [Client  9] Round 1 | loss=1.6654 | time=0.8s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.5605
  [Client 10] Round 1 | loss=1.7868 | time=9.3s
  [Client 11] Round 1 | loss=1.7766 | time=11.3s
  [Client 12] Round 1 | loss=1.6723 | time=9.3s
  [Client 13] Round 1 | loss=1.3514 | time=11.1s
  [Client 14] Round 1 | loss=2.2558 | time=8.7s
  [Client 15] Round 1 | loss=1.7627 | time=9.8s
  [Client 16] Round 1 | loss=2.0009 | time=11.2s
  [Client 17] Round 1 | loss=2.1401 | time=7.6s
  [Client 18] Round 1 | loss=1.9204 | time=11.5s
  [Client 19] Round 1 | loss=1.4155 | time=11.8s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.7159
  [Client 10] Round 1 | loss=1.8389 | time=1.0s
  [Client 11] Round 1 | loss=1.7832 | time=0.7s
  [Client 12] Round 1 | loss=1.8301 | time=0.6s
  [Client 13] Round 1 | loss=1.4424 | time=1.6s
  [Client 14] Round 1 | loss=2.1583 | time=0.5s
  [Client 15] Round 1 | loss=1.5945 | time=1.4s
  [Client 16] Round 1 | loss=1.8784 | time=0.8s
  [Client 17] Round 1 | loss=2.0464 | time=0.3s
  [Client 18] Round 1 | loss=1.7465 | time=1.6s
  [Client 19] Round 1 | loss=1.2848 | time=1.7s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.6540
  [Client 10] Round 1 | loss=1.6863 | time=1.0s
  [Client 11] Round 1 | loss=1.6049 | time=0.7s
  [Client 12] Round 1 | loss=1.6209 | time=0.6s
  [Client 13] Round 1 | loss=1.2695 | time=1.6s
  [Client 14] Round 1 | loss=1.7895 | time=0.5s
  [Client 15] Round 1 | loss=1.5318 | time=1.4s
  [Client 16] Round 1 | loss=1.7482 | time=0.8s
  [Client 17] Round 1 | loss=1.9813 | time=0.3s
  [Client 18] Round 1 | loss=1.7719 | time=1.6s
  [Client 19] Round 1 | loss=1.1607 | time=1.7s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.5334
  [Client 10] Round 1 | loss=1.5908 | time=1.0s
  [Client 11] Round 1 | loss=1.6622 | time=0.7s
  [Client 12] Round 1 | loss=1.5615 | time=0.6s
  [Client 13] Round 1 | loss=1.2711 | time=1.6s
